ILOC_CODE_2016,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC50500501,1135,864,884,1751,52,60,117,6636,6549,13188,637,569,1203,7328,7182,14509
ILOC50500502,2016,1423,1249,2671,102,107,202,5570,4862,10433,1101,954,2053,6774,5918,12687
ILOC50500503,242,199,162,357,19,16,38,1428,1547,2978,145,110,256,1599,1678,3277
ILOC50500601,1164,807,768,1578,78,85,165,3097,3274,6368,619,597,1211,3789,3948,7740
ILOC50500602,1568,1075,924,1999,45,44,87,1997,2425,4427,911,697,1601,2949,3171,6118
ILOC50500603,1580,1115,1054,2162,124,117,244,5354,5481,10837,866,776,1641,6345,6376,12718
ILOC50500604,359,257,233,490,29,36,63,523,617,1143,194,186,380,745,838,1589
ILOC50500605,804,554,572,1127,55,40,96,1121,1336,2460,423,397,827,1601,1778,3383
ILOC50500701,2422,1576,1613,3189,103,77,183,3746,4453,8193,1253,1212,2466,5101,5738,10839
ILOC50500801,301,249,226,467,43,32,75,909,904,1811,164,150,313,1114,1084,2202
ILOC50500802,873,1677,630,2308,324,32,362,5669,4996,10666,500,404,910,6495,5435,11937
ILOC50500803,1321,944,952,1897,128,152,287,2245,2315,4560,688,667,1358,3060,3138,6195
ILOC50500804,267,239,211,449,49,36,93,1184,1156,2342,143,129,274,1374,1333,2708
ILOC50500805,220,200,162,362,39,46,82,711,687,1395,129,101,229,876,832,1711
