ILOC_CODE_2016,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_149_M,PI1_149_F,PI1_149_P,PI150_299_M,PI150_299_F,PI150_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_499_M,PI400_499_F,PI400_499_P,PI500_649_M,PI500_649_F,PI500_649_P,PI650_799_M,PI650_799_F,PI650_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC10600204,4,6,9,6,0,11,10,21,33,18,24,40,6,10,12,9,9,18,8,9,12,3,6,8,6,8,13,12,9,17,75,89,169
ILOC10600205,3,9,11,0,0,4,7,9,18,12,6,13,5,10,11,9,11,18,4,6,8,0,3,0,5,8,11,0,3,6,48,55,101
ILOC10600206,0,0,0,3,0,3,12,8,17,4,9,9,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,11,4,13,26,26,53
ILOC10600301,5,12,17,6,3,9,15,15,30,9,11,25,16,9,24,8,8,16,7,6,15,15,3,14,11,3,19,18,17,35,103,92,194
ILOC10600302,93,71,160,40,48,85,127,107,239,97,113,209,72,87,164,63,93,154,50,62,111,51,48,98,102,94,196,46,61,104,728,775,1506
ILOC10600303,110,90,198,32,76,106,103,74,171,94,110,202,85,99,185,62,85,150,68,90,158,71,56,125,180,131,316,177,49,227,987,858,1842
ILOC10600401,39,45,91,21,25,50,35,48,83,33,50,81,32,48,82,25,47,68,29,50,75,49,42,85,136,141,282,23,28,53,424,521,947
ILOC10600402,30,20,50,19,10,29,19,21,38,23,27,49,14,13,31,16,24,36,19,24,39,29,21,43,85,53,142,42,17,63,287,234,518
ILOC10600501,39,36,76,24,18,45,31,42,72,25,43,66,31,38,68,21,43,58,15,36,49,32,26,59,77,58,132,135,21,160,420,361,780
ILOC10600502,17,29,46,6,6,15,25,16,37,20,29,54,20,18,34,12,22,33,19,15,37,22,11,25,74,48,116,9,10,24,224,202,426
ILOC10600503,33,42,80,22,31,47,23,26,53,26,39,65,21,43,63,21,35,54,31,37,74,36,20,51,79,42,122,14,16,27,302,331,636
ILOC10700101,19,9,26,4,5,14,5,11,19,3,11,18,11,12,18,3,12,17,4,0,9,13,9,24,30,20,54,268,90,363,369,190,558
ILOC10700201,40,42,76,17,28,43,12,25,34,15,24,44,21,31,54,20,27,47,25,22,42,32,28,56,122,96,215,7,14,26,305,334,635
ILOC10700301,37,16,47,12,12,17,11,25,40,19,38,55,19,28,44,10,26,34,5,16,20,11,6,15,10,15,24,12,13,21,147,187,327
ILOC10700302,20,8,33,3,11,15,16,18,31,10,22,29,17,13,25,6,11,19,5,17,24,7,7,13,13,7,21,3,3,7,98,120,215
ILOC10700303,21,27,49,13,16,30,12,16,33,16,17,31,18,16,31,18,21,37,23,14,39,23,19,40,70,45,118,6,7,17,218,208,430
ILOC10700304,37,28,66,23,19,41,30,26,54,22,34,62,23,22,46,13,34,54,20,36,51,28,21,48,78,65,146,24,19,37,288,311,600
ILOC10700305,4,4,9,0,3,5,9,4,7,3,5,12,3,3,12,3,9,11,6,8,14,10,3,15,0,10,8,4,8,6,42,58,94
ILOC10700306,46,43,87,14,21,36,34,40,78,24,43,64,22,40,67,21,41,60,30,23,47,33,39,67,51,49,103,25,31,61,297,371,667
ILOC10700307,14,0,14,3,3,4,3,10,11,0,11,8,0,5,4,4,4,8,0,0,3,7,3,6,3,7,10,3,5,5,36,44,78
ILOC10700308,14,6,20,0,8,9,3,8,12,3,10,9,8,6,11,9,11,16,3,6,15,7,0,11,17,9,30,3,8,13,65,73,143
ILOC10700309,17,17,38,6,9,13,9,5,13,5,8,12,3,12,18,9,19,29,7,21,26,13,19,29,34,25,59,3,9,15,105,150,254
ILOC10700310,14,6,16,4,7,12,10,7,20,10,12,22,8,16,23,3,7,11,7,11,19,8,4,11,21,14,31,5,3,3,84,87,174
ILOC10700311,12,12,21,6,3,10,7,6,13,3,5,4,0,9,5,7,8,16,5,3,13,3,7,15,22,14,37,7,3,11,74,62,137
ILOC10700312,7,10,19,10,12,20,18,20,33,20,17,38,14,20,35,10,9,17,9,15,23,12,10,21,26,15,43,13,8,21,146,126,270
ILOC10700313,27,20,46,5,10,12,20,18,44,17,16,36,8,31,42,6,15,18,8,15,29,14,8,20,18,13,28,7,20,24,132,165,297
ILOC10700314,8,5,18,5,7,9,9,10,23,7,22,31,9,12,18,8,3,12,11,15,24,11,7,20,18,16,34,7,5,9,90,104,195
ILOC10700315,44,39,81,12,16,31,32,41,76,32,44,70,24,28,57,7,29,37,21,27,48,20,16,42,52,38,84,31,29,57,279,309,585
ILOC10700316,17,14,30,0,8,9,0,10,12,0,10,10,0,3,3,7,6,14,10,10,21,4,11,14,38,20,60,173,0,173,253,95,346
ILOC10700317,30,23,52,6,8,15,13,8,18,0,16,13,21,21,41,4,17,21,13,13,31,7,9,21,48,52,95,6,6,11,151,173,321
ILOC10700318,14,11,26,5,6,12,7,3,10,8,11,18,9,3,14,3,12,12,5,3,11,10,7,21,25,19,41,3,5,8,94,84,177
ILOC10700319,28,18,46,6,14,16,16,18,41,17,23,37,21,38,64,8,23,34,18,22,35,17,16,35,20,20,36,17,15,32,169,193,365
ILOC10700320,26,26,53,11,12,19,23,17,38,17,15,33,12,21,39,12,26,31,8,22,31,6,13,21,27,27,63,6,15,19,152,201,352
ILOC10700401,12,4,13,5,5,9,7,6,12,6,5,7,3,13,16,4,5,14,3,3,9,4,9,18,33,19,51,0,3,3,77,74,153
ILOC10700402,28,20,48,17,23,37,13,17,30,9,9,16,18,16,31,5,20,29,10,20,31,26,19,43,67,37,103,7,8,14,191,188,378
ILOC10700403,25,14,39,6,3,6,12,20,34,15,16,39,23,19,45,15,31,41,12,15,25,8,19,25,28,18,52,13,15,19,154,168,320
ILOC10700404,18,15,33,5,3,12,8,8,16,7,8,21,3,14,18,14,12,24,12,12,21,11,7,20,34,26,59,0,5,8,114,114,235
ILOC10700405,3,5,6,3,6,7,8,9,11,3,3,5,0,3,6,3,3,7,0,6,4,7,5,11,11,17,31,3,0,3,41,52,92
ILOC10700501,31,27,59,17,17,27,20,19,43,17,33,53,19,33,57,23,32,51,17,26,43,27,36,64,96,96,189,14,12,28,277,330,607
ILOC10700601,84,70,153,24,43,62,35,49,83,16,40,60,30,46,78,38,52,94,34,61,94,52,58,106,245,182,427,41,37,78,591,638,1225
ILOC10700701,25,19,45,13,11,17,16,17,35,17,31,48,15,23,45,5,16,19,5,10,22,8,8,16,13,14,29,10,15,29,130,175,307
ILOC10700702,21,18,43,6,15,16,16,14,31,11,18,27,7,13,22,11,16,21,17,17,32,13,11,21,28,29,53,15,6,20,133,153,290
ILOC10700703,9,7,18,3,15,19,15,12,24,10,11,14,6,23,29,11,20,22,13,6,20,14,15,28,26,29,58,8,4,12,108,135,248
ILOC10700704,3,3,3,0,4,4,0,3,3,0,3,5,3,0,5,4,0,4,3,5,10,4,0,4,8,0,8,0,0,0,27,19,41
ILOC10700705,47,40,82,11,26,37,28,42,67,17,45,64,26,32,56,13,44,60,29,39,70,34,40,76,78,60,141,15,16,33,301,385,691
ILOC10700706,26,18,45,12,6,17,10,12,27,9,25,25,11,19,25,9,31,38,8,11,19,18,9,32,31,34,64,3,6,14,141,166,306
ILOC10700707,17,18,33,3,3,9,9,11,20,5,20,21,8,14,17,11,10,23,6,13,23,9,19,25,39,24,64,5,6,16,120,140,260
ILOC10700708,30,36,69,4,17,23,24,26,57,18,26,44,14,29,42,7,30,41,19,25,39,27,17,43,41,30,68,7,26,36,191,268,461
ILOC10700709,21,26,44,10,8,20,7,21,32,10,17,34,7,24,33,6,17,27,14,8,24,16,13,30,26,24,45,7,7,10,122,169,288
ILOC10700710,18,22,38,9,6,14,9,11,20,7,5,13,8,20,28,4,21,22,19,17,30,25,19,38,48,33,80,8,10,14,145,170,310
ILOC10700711,17,21,37,3,12,11,3,18,27,12,21,26,5,21,26,5,11,14,10,9,19,4,5,8,15,23,42,3,5,12,75,149,226
ILOC10700712,13,12,24,3,11,10,3,11,13,3,10,11,0,15,16,6,7,12,7,3,11,3,8,16,15,16,34,0,3,3,61,90,147
ILOC10700713,10,10,19,3,3,10,13,10,16,3,7,5,3,11,16,0,14,15,5,13,17,8,5,16,25,15,41,0,3,3,63,93,155
ILOC10700801,5,12,12,3,4,11,7,12,16,6,17,27,10,14,24,8,15,20,9,9,13,8,10,13,11,14,28,9,8,17,73,110,183
ILOC10700802,21,28,47,14,10,21,12,21,38,25,34,52,22,31,49,11,33,39,12,12,24,13,17,28,35,39,75,7,14,19,166,234,403
ILOC10700803,28,37,64,15,16,24,19,20,33,30,32,54,17,27,45,16,26,42,17,20,40,12,25,37,81,49,136,16,8,23,243,259,499
ILOC10700804,39,40,83,12,15,27,25,34,55,33,32,65,27,41,67,17,44,55,26,33,56,24,29,51,84,91,171,24,20,43,295,371,670
ILOC10700901,38,31,71,9,18,24,33,46,82,31,45,71,23,37,63,21,43,58,33,36,64,32,22,53,64,35,100,25,20,44,309,321,635
ILOC10700902,26,27,57,6,11,17,12,16,32,22,20,43,11,20,36,14,20,34,18,23,41,15,14,36,37,29,67,7,9,22,178,197,372
ILOC10701001,34,50,79,10,21,29,10,24,32,15,17,36,14,15,28,15,22,33,20,19,40,26,20,46,79,46,124,4,14,16,227,245,468
ILOC10701002,18,26,42,11,13,16,9,20,31,15,30,46,8,17,26,12,19,29,15,23,32,20,20,37,51,28,79,10,8,14,160,201,364
ILOC10701003,50,50,98,16,22,32,26,32,60,24,42,69,20,36,52,16,41,53,31,25,55,42,29,76,100,58,164,17,15,31,331,350,684
ILOC10701101,42,36,75,10,15,22,31,35,61,32,53,82,22,36,61,14,36,54,30,27,54,29,32,68,82,75,159,11,6,21,309,350,659
ILOC10701201,42,57,99,13,23,38,21,30,47,23,23,47,11,18,28,20,21,39,19,28,48,22,33,54,140,86,223,10,16,27,311,327,640
ILOC10701301,38,12,48,11,13,24,15,13,27,11,16,34,12,20,35,14,19,28,7,15,21,13,15,27,68,41,110,6,7,16,193,180,373
ILOC10701401,20,22,40,3,20,18,22,22,40,11,19,31,11,26,31,16,16,34,12,16,33,11,21,28,57,42,98,3,12,15,168,205,377
ILOC10701402,11,8,23,4,10,9,0,7,13,0,3,6,4,5,9,10,12,18,3,13,18,11,9,15,46,40,88,4,6,9,95,117,216
ILOC10701501,9,28,36,10,12,19,6,13,13,8,7,18,8,16,24,12,8,21,9,10,25,9,14,24,58,29,86,6,4,9,138,141,276
ILOC10701502,108,117,224,54,52,104,71,103,178,72,93,163,52,107,160,54,98,159,53,69,120,48,61,115,224,110,336,52,45,92,786,867,1651
ILOC10701601,18,19,36,6,12,15,20,30,51,20,28,46,16,26,42,11,11,25,18,18,39,10,17,28,58,72,133,10,16,29,194,249,443
ILOC10701701,84,82,165,28,33,58,81,74,149,63,82,152,46,102,149,45,76,116,42,63,106,48,52,102,132,102,236,57,56,111,629,726,1353
ILOC10701702,40,38,83,10,13,23,19,25,43,23,27,48,16,28,42,12,26,43,21,46,66,21,32,50,81,61,138,6,11,21,249,315,564
ILOC10701801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
ILOC10701901,37,43,83,16,15,28,39,55,99,32,53,90,39,50,89,30,44,73,28,35,63,41,36,75,143,148,287,16,18,34,422,487,911
ILOC10702001,39,55,93,18,18,38,23,22,46,23,21,43,18,29,46,16,33,52,20,28,47,36,31,61,156,115,266,8,16,25,360,365,724
ILOC10702002,7,16,24,8,14,17,13,6,19,4,13,18,13,6,21,4,6,14,18,7,23,16,12,24,56,43,99,4,4,12,137,124,265
ILOC10702101,10,9,19,8,8,14,6,11,20,13,6,19,10,12,29,13,3,17,8,4,16,14,9,28,48,44,91,6,7,13,136,120,253
ILOC10702102,18,9,25,6,9,14,13,20,28,13,22,32,5,15,23,3,13,18,3,11,15,11,11,22,28,20,50,13,11,23,115,141,259
ILOC10702103,21,24,41,7,15,26,19,18,34,6,12,15,11,16,22,10,12,18,11,10,24,12,15,31,38,29,68,5,8,12,137,145,290
ILOC10702104,22,13,29,8,7,8,11,11,25,13,14,23,12,22,33,4,7,10,7,5,15,14,5,13,17,11,28,9,5,16,115,96,206
ILOC10702201,54,48,102,14,27,37,27,34,60,30,42,75,23,45,71,26,50,83,38,50,82,44,30,74,143,76,226,166,89,254,568,502,1068
ILOC10702202,25,20,42,3,17,26,12,14,27,4,9,14,9,4,12,11,15,26,14,15,26,16,24,39,71,50,116,3,11,15,161,185,342
ILOC10702203,51,50,101,11,24,43,40,36,71,26,62,88,31,54,85,20,50,68,26,44,72,43,39,74,134,83,216,23,15,33,404,444,845
ILOC10702204,62,64,124,25,36,56,25,49,73,38,50,84,35,60,88,24,66,86,38,41,75,73,36,110,147,115,263,23,24,45,477,538,1011
ILOC10702205,51,45,101,15,24,39,49,62,114,40,53,95,28,48,81,21,53,71,34,50,81,47,52,102,95,59,156,42,25,69,431,480,902
ILOC10702206,48,34,78,8,19,31,11,18,31,11,22,34,22,23,43,25,29,51,18,23,39,45,26,65,112,84,193,6,20,29,302,293,594
ILOC10702207,15,21,37,10,6,17,7,14,18,4,15,21,10,14,22,6,19,27,3,9,14,5,11,14,50,43,90,3,58,64,125,208,326
ILOC10702301,12,14,31,3,6,9,18,20,41,8,11,22,11,30,39,7,12,17,17,18,30,10,15,26,35,28,60,22,23,46,136,176,315
ILOC10702302,57,52,111,30,34,62,41,66,110,38,52,91,38,60,103,29,60,90,29,49,76,40,39,78,158,132,292,259,27,278,719,574,1289
ILOC10702401,25,32,53,13,13,25,23,21,36,10,16,29,7,23,33,16,22,40,20,17,43,30,40,65,111,87,205,14,10,21,269,286,559
ILOC10702501,36,56,91,15,14,34,24,33,56,15,23,37,23,37,62,22,34,64,33,33,69,35,48,83,173,125,302,29,17,45,411,424,841
ILOC10702502,43,48,89,13,28,40,22,34,56,23,23,49,20,28,47,23,32,53,37,39,72,42,42,80,175,113,287,22,17,38,406,399,806
ILOC10702601,32,34,71,19,20,38,44,54,101,51,45,99,31,45,79,22,28,53,26,34,64,21,41,61,125,91,219,27,27,48,404,427,824
ILOC10702602,17,10,29,11,15,25,25,15,38,30,18,49,33,20,52,8,10,17,12,13,27,18,8,27,111,47,159,18,14,34,282,173,448
ILOC10702603,20,19,39,13,14,26,28,29,55,21,23,45,11,26,43,14,26,39,8,12,26,11,11,25,62,56,115,21,17,43,208,241,450
ILOC10702604,9,7,17,3,4,11,19,15,36,18,16,36,9,9,20,6,9,11,12,7,16,8,7,11,23,23,49,6,3,12,110,106,213
ILOC10702701,11,6,19,3,3,5,11,9,20,9,6,14,3,8,12,9,13,19,5,5,15,6,9,12,29,45,76,3,7,10,90,111,207
ILOC10702702,7,8,17,3,0,3,6,6,10,0,9,13,4,3,9,0,0,0,6,6,12,3,5,6,20,19,36,3,0,6,50,64,115
ILOC10702703,14,10,21,7,7,17,13,12,28,13,15,23,9,8,14,3,5,8,8,10,19,10,16,26,67,50,110,4,11,18,141,154,295
ILOC10702704,3,8,6,3,9,11,13,6,15,3,3,9,0,0,0,6,0,3,4,3,8,0,8,12,19,15,30,3,0,3,50,45,92
ILOC10702801,23,11,29,4,3,9,3,7,11,3,10,14,0,9,14,5,4,8,3,4,5,9,4,14,43,33,79,6,0,10,105,83,193
ILOC10702802,7,14,25,0,3,3,7,4,8,7,3,15,3,5,11,3,4,9,3,8,9,13,9,21,55,63,113,3,4,8,102,112,213
ILOC10702901,62,78,137,23,37,59,30,39,63,21,59,80,19,44,64,28,47,84,44,43,93,41,53,94,159,93,253,24,15,44,465,503,970
ILOC10703001,207,205,410,82,112,196,219,214,431,164,225,397,140,220,356,106,193,295,133,180,319,123,121,241,434,298,738,98,87,184,1701,1853,3550
ILOC10703101,10,14,18,7,5,12,8,6,14,7,3,13,6,3,9,9,5,10,8,0,7,8,8,19,65,36,103,3,3,3,127,85,212
ILOC10703102,9,11,19,3,0,0,3,3,3,4,3,9,0,0,0,0,3,8,3,9,9,5,6,10,22,26,46,3,0,4,56,61,112
ILOC19499494,33,16,53,20,13,36,129,75,204,72,50,120,54,29,83,17,18,34,17,10,22,24,7,33,30,9,37,81,35,120,485,257,739
ILOC19799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8
ILOC20100101,16,23,39,7,11,19,7,10,19,6,18,19,6,15,15,10,15,25,5,7,16,9,3,18,28,11,42,9,6,19,100,120,217
ILOC20100102,11,21,32,7,7,14,16,22,42,16,21,37,11,18,28,8,15,23,10,18,27,28,11,39,46,26,64,15,12,26,170,164,326
ILOC20100201,33,31,63,4,20,21,18,24,44,19,24,36,19,22,41,8,30,38,12,17,29,44,14,56,76,44,121,8,12,20,242,228,466
ILOC20100301,44,49,92,19,27,40,21,32,55,20,30,58,15,30,49,16,34,50,22,32,48,29,29,54,117,56,173,22,19,38,324,338,662
ILOC20100401,29,33,59,4,18,26,24,35,58,15,19,35,9,20,30,16,21,40,23,27,50,27,21,45,60,35,91,16,14,34,225,232,461
ILOC20100402,42,36,83,14,23,40,19,32,46,22,34,54,18,28,47,17,33,56,23,37,58,25,29,55,80,37,119,14,20,28,281,300,577
ILOC20100501,13,33,46,14,8,18,16,21,39,15,29,40,10,20,38,15,14,28,9,13,26,21,19,36,80,38,118,10,13,20,207,214,413
ILOC20100502,19,31,50,9,5,17,8,20,29,4,9,18,8,18,30,13,23,32,6,15,28,21,14,32,46,26,74,8,3,11,145,167,315
ILOC20100503,39,32,72,9,23,35,33,32,64,18,25,45,23,45,68,23,29,58,26,27,52,23,16,42,78,51,128,17,21,42,302,309,607
ILOC20100601,27,17,39,11,12,21,28,22,49,12,33,47,11,25,38,11,17,28,14,16,35,11,9,17,27,19,48,7,24,35,164,193,358
ILOC20100701,26,32,63,13,20,36,26,36,61,16,21,36,18,24,41,16,25,38,33,23,54,22,19,45,74,26,107,15,19,28,262,244,512
ILOC20100801,19,20,36,14,8,20,21,20,43,18,14,30,12,9,23,11,15,24,18,8,24,19,17,32,52,43,91,17,4,22,188,151,341
ILOC20100802,14,7,27,9,12,16,17,19,36,9,8,23,10,19,30,14,6,22,9,14,28,20,14,31,51,58,109,10,8,20,167,165,332
ILOC20100901,23,17,38,7,23,31,12,20,36,10,22,40,18,24,36,6,9,14,15,14,32,18,24,39,61,43,102,14,6,22,187,202,388
ILOC20101001,12,7,21,4,4,10,7,5,16,6,6,14,4,3,8,0,3,7,7,4,11,3,6,12,34,13,52,4,5,9,82,67,145
ILOC20101002,22,13,31,10,9,14,10,18,24,11,6,18,8,12,21,5,7,14,12,6,16,7,11,17,42,29,78,8,7,15,137,120,259
ILOC20101003,21,15,34,8,16,23,13,13,28,5,14,19,12,18,23,21,15,35,17,20,36,21,12,32,99,79,179,7,10,20,222,215,437
ILOC20101101,17,13,33,12,12,21,20,18,34,15,8,24,13,16,30,5,20,28,13,11,19,9,17,27,37,25,58,5,4,15,143,140,291
ILOC20101102,15,15,25,8,3,8,3,10,11,0,0,3,5,7,6,3,11,14,7,5,10,3,6,10,32,14,47,8,12,16,75,74,148
ILOC20101103,8,11,19,3,3,6,7,3,6,5,4,14,5,6,17,3,4,7,3,12,15,6,13,15,31,23,53,0,3,3,75,89,159
ILOC20101104,15,17,31,5,6,15,11,7,15,6,11,15,4,16,19,8,5,11,10,14,25,3,10,13,30,23,52,4,6,14,94,116,209
ILOC20101201,23,24,44,8,24,31,19,21,41,8,19,26,16,6,21,11,17,28,14,8,22,9,13,26,84,53,130,55,9,63,242,193,433
ILOC20101202,10,9,24,7,3,11,21,15,33,12,17,33,17,8,25,6,5,16,7,11,26,12,22,31,64,52,113,14,8,28,177,161,340
ILOC20101203,19,9,25,8,0,13,10,16,24,14,13,25,16,16,31,21,21,33,8,16,20,12,14,31,50,54,102,6,11,21,165,165,329
ILOC20101301,56,54,106,12,27,38,29,44,73,22,43,65,21,48,69,21,44,64,26,50,73,35,35,66,103,59,163,83,48,134,408,446,856
ILOC20101401,3,6,13,3,3,11,10,11,19,4,8,12,4,9,9,3,10,16,6,6,10,3,5,10,15,15,36,0,5,7,59,81,135
ILOC20101402,5,6,5,9,5,11,12,9,21,3,6,10,3,4,9,0,0,4,0,0,4,3,0,3,17,9,22,4,0,4,47,41,89
ILOC20101403,11,4,19,3,0,3,3,3,4,4,5,3,3,5,6,0,4,4,3,3,3,0,4,7,13,5,16,3,6,6,51,33,81
ILOC20101501,24,25,44,0,8,8,15,26,38,12,28,40,11,17,26,13,17,34,15,16,37,16,7,19,29,19,42,15,9,28,142,169,313
ILOC20101502,8,4,19,5,4,10,16,14,27,8,13,18,10,9,20,13,9,21,4,3,7,10,16,26,34,38,71,8,15,23,114,127,243
ILOC20101503,10,6,15,0,5,6,11,12,29,9,12,19,7,8,20,8,8,15,3,12,15,11,16,27,29,33,65,5,7,7,91,118,209
ILOC20101504,9,13,23,6,6,11,13,12,26,3,14,18,4,9,19,3,6,13,9,7,14,3,8,15,23,12,38,12,3,12,90,87,173
ILOC20101601,13,26,39,6,5,12,16,10,29,9,16,31,15,16,33,20,32,47,33,24,58,20,15,33,56,23,82,6,5,11,197,178,370
ILOC20101602,11,18,28,8,13,22,17,23,42,17,14,29,15,13,25,16,17,32,13,12,26,20,18,40,39,18,60,14,12,25,165,160,321
ILOC20101603,14,19,33,8,5,13,3,16,21,11,12,17,3,4,6,3,6,12,7,11,21,0,7,13,23,24,46,3,4,5,81,104,183
ILOC20101701,7,12,24,5,13,18,21,20,42,12,15,24,7,13,22,7,11,19,10,11,23,8,10,19,27,32,64,5,4,11,112,145,255
ILOC20101702,28,31,58,19,15,39,41,43,80,33,41,78,25,34,61,21,22,47,15,27,45,22,24,42,68,67,133,15,22,38,283,328,610
ILOC20101703,59,70,131,14,33,50,62,50,107,29,54,83,31,39,73,27,68,96,35,47,80,41,40,89,146,101,250,27,32,66,475,548,1019
ILOC20101801,14,3,12,0,3,4,3,10,16,0,10,12,9,7,15,3,0,5,4,6,11,0,4,7,12,10,23,0,0,3,52,50,97
ILOC20101802,5,3,8,0,3,3,3,4,8,0,4,4,10,4,14,3,3,4,4,0,8,0,4,9,14,11,17,3,0,4,35,41,84
ILOC20101803,3,10,14,0,0,3,0,4,6,3,3,4,3,7,14,4,4,10,9,5,9,0,3,3,13,3,11,8,3,9,40,45,83
ILOC20101901,19,29,46,10,3,14,23,7,32,9,15,25,11,21,34,10,14,22,11,11,24,20,13,39,44,36,77,6,5,13,152,162,315
ILOC20101902,26,30,60,6,20,22,15,20,35,16,26,40,13,16,34,4,21,33,15,21,31,25,15,34,53,26,76,138,9,146,310,209,515
ILOC20101903,40,56,98,16,25,37,29,43,72,20,31,47,17,37,50,21,24,49,25,28,45,19,36,60,100,65,168,10,9,18,293,348,641
ILOC20102001,50,95,143,21,31,52,24,46,67,34,40,76,35,41,74,25,60,89,24,46,76,46,35,77,139,60,204,20,37,57,423,488,908
ILOC20200101,47,59,110,37,33,69,68,71,143,44,53,98,43,67,113,33,58,95,31,47,81,23,29,57,77,77,149,21,39,57,430,537,971
ILOC20200201,27,19,49,8,10,21,20,28,47,12,14,27,9,18,26,6,14,18,14,10,18,22,8,29,27,21,47,8,17,25,154,156,303
ILOC20200301,3,11,10,7,10,15,3,4,8,6,6,15,3,8,13,4,6,12,3,3,9,14,6,19,15,6,18,3,0,5,58,61,121
ILOC20200302,6,12,26,3,11,14,11,12,22,8,15,21,13,5,24,14,24,39,10,14,26,7,7,16,10,12,22,6,8,16,108,121,221
ILOC20200303,14,18,30,5,10,12,9,9,19,5,12,20,7,6,10,9,4,14,6,6,16,6,3,8,26,12,36,3,3,5,86,85,168
ILOC20200304,8,8,21,4,4,11,15,16,32,5,10,21,8,21,26,7,15,20,13,11,21,4,6,11,11,17,32,13,8,25,97,116,214
ILOC20200305,12,8,13,7,11,16,6,16,20,9,10,17,3,15,17,14,6,22,10,7,21,7,6,17,16,11,29,3,3,6,89,92,178
ILOC20200306,18,20,33,7,8,14,17,21,36,17,15,29,8,17,29,10,21,31,5,12,15,12,6,20,22,21,42,5,7,10,118,143,264
ILOC20200401,6,11,15,4,3,4,7,6,16,10,6,11,4,8,14,4,3,3,12,0,9,5,5,8,10,5,12,8,0,7,65,47,107
ILOC20200402,14,18,31,4,9,15,27,19,42,15,22,35,12,19,28,16,24,46,4,11,15,14,16,34,14,21,30,14,9,20,134,165,301
ILOC20200403,15,17,26,7,3,13,11,17,24,7,9,11,10,3,16,3,4,11,3,4,12,10,3,10,15,8,19,4,3,8,83,71,150
ILOC20200404,19,15,36,12,6,15,16,15,36,18,23,41,14,25,43,15,16,28,11,11,27,14,12,22,27,15,47,16,12,27,164,154,323
ILOC20200405,80,85,165,38,30,75,86,77,160,75,86,166,72,92,162,36,76,116,63,81,146,69,51,114,90,97,190,65,57,126,690,726,1413
ILOC20200501,21,31,50,5,19,27,34,38,71,40,46,83,23,35,58,12,27,43,18,23,43,25,10,39,40,23,59,67,18,89,289,264,553
ILOC20200601,92,95,194,35,74,112,77,88,160,57,87,148,58,97,153,52,94,147,41,64,112,64,49,114,197,128,320,105,36,140,776,817,1586
ILOC20200701,17,18,35,10,3,12,29,20,44,18,27,42,15,16,32,6,23,29,23,21,35,15,10,20,22,22,41,6,20,23,157,167,318
ILOC20200702,23,39,63,19,20,33,43,35,79,33,34,67,21,25,46,15,33,46,18,26,48,12,16,27,32,16,51,20,16,37,239,263,500
ILOC20200703,0,0,0,0,0,0,3,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10
ILOC20200704,26,23,47,3,10,11,29,34,55,25,36,63,13,23,36,4,16,22,9,19,26,16,13,32,42,26,76,65,14,76,231,215,446
ILOC20200801,14,10,26,3,4,12,19,23,46,10,10,22,14,13,23,3,17,18,3,0,6,9,3,12,22,12,29,16,10,23,114,104,218
ILOC20200802,15,5,19,6,4,10,16,10,35,13,15,30,5,18,26,6,11,17,11,14,22,3,7,7,10,17,28,4,10,18,91,115,203
ILOC20200803,20,21,44,11,11,20,21,11,33,8,23,31,4,14,19,11,16,32,12,9,20,9,16,21,41,19,61,11,13,19,142,157,299
ILOC20200901,18,14,33,4,9,7,4,14,16,5,9,13,12,10,16,0,8,9,3,8,16,10,3,15,34,11,52,7,10,13,100,98,194
ILOC20200902,16,12,26,7,13,17,6,16,23,10,13,23,8,13,20,3,7,9,15,11,27,12,6,16,44,20,61,10,0,11,125,106,232
ILOC20201001,76,72,141,27,40,66,76,99,182,58,91,152,45,73,118,40,89,133,48,67,115,46,40,83,79,74,161,46,60,112,559,704,1256
ILOC20201101,17,9,27,4,12,15,6,11,16,8,23,32,13,10,15,10,11,24,11,0,11,10,3,11,13,11,23,9,3,17,103,89,189
ILOC20201102,15,15,28,0,4,10,17,15,29,9,15,21,8,9,13,3,8,15,9,10,16,5,6,10,20,7,23,4,4,9,83,91,179
ILOC20201201,33,30,65,20,20,37,17,31,50,28,34,57,19,22,36,20,37,55,15,19,35,27,17,38,52,38,93,17,17,33,249,257,504
ILOC20201202,0,4,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,12,13
ILOC20201203,15,20,33,8,3,8,19,19,35,9,20,27,21,20,38,7,16,21,4,15,19,14,7,21,25,7,32,77,12,90,192,127,320
ILOC20201301,17,5,21,0,4,6,10,10,13,3,3,10,3,6,6,9,5,13,7,9,11,3,10,14,19,17,28,3,0,4,62,67,128
ILOC20201302,11,12,20,4,0,7,7,7,17,4,9,17,12,20,27,3,11,16,9,6,17,4,9,13,15,5,20,3,5,9,80,82,163
