ILOC_CODE_2016,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_149_M,PI1_149_F,PI1_149_P,PI150_299_M,PI150_299_F,PI150_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_499_M,PI400_499_F,PI400_499_P,PI500_649_M,PI500_649_F,PI500_649_P,PI650_799_M,PI650_799_F,PI650_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC70100202,0,3,3,12,18,33,44,43,87,14,8,19,3,9,9,0,3,3,0,0,3,0,0,0,0,3,3,19,10,32,96,107,197
ILOC70100203,4,0,7,11,6,14,32,29,63,5,15,22,3,7,7,0,0,0,0,0,0,0,0,0,0,0,3,20,30,45,74,92,163
ILOC70100204,4,0,4,0,3,3,8,14,29,9,8,19,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,15,3,19,37,45,87
ILOC70100205,3,0,3,0,4,7,8,13,13,0,3,4,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,7,12,17,17,31,50
ILOC70100206,0,3,3,5,0,9,10,18,22,0,7,10,0,3,3,8,0,8,0,0,3,0,0,3,4,0,4,15,7,25,45,44,83
ILOC70100207,0,0,4,9,3,8,12,11,23,4,6,12,0,4,7,0,3,3,0,0,0,0,0,0,0,0,0,6,11,16,31,39,73
ILOC70200102,18,13,29,24,16,36,67,71,136,15,30,41,15,15,25,8,11,22,7,3,11,3,3,3,3,11,13,3,9,16,153,176,329
ILOC70200103,8,7,8,3,0,3,15,14,29,4,13,25,5,9,15,3,0,8,4,7,6,7,3,13,13,9,20,503,66,571,562,131,692
ILOC70200104,7,5,13,7,8,15,12,15,30,17,17,35,7,11,19,9,0,8,0,0,0,0,0,3,0,3,6,18,18,42,77,84,166
ILOC70200201,4,0,4,20,16,36,89,110,199,5,10,13,0,5,3,3,9,10,3,0,6,4,0,5,0,0,0,12,14,29,142,164,306
ILOC70200301,0,0,0,3,4,8,7,15,24,3,3,9,9,6,14,3,4,3,0,0,0,0,0,0,0,3,4,0,0,0,26,37,61
ILOC70200302,0,3,3,0,0,0,3,0,3,0,0,0,0,3,3,0,4,5,0,0,0,0,3,4,4,3,6,3,4,3,8,18,28
