ILOC_CODE_2016,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC50701102,0,11,19,28,6,14,24,212,83,298,0,0,0,224,96,316,108,95,205,874,789,1663,10,13,16,996,892,1887,12,25,38,113,105,214,3,0,3,126,126,258,78,70,139,626,549,1174,3,3,11,708,621,1326,38,51,81,300,309,611,7,6,12,335,362,704
ILOC50701201,0,6,13,17,5,3,7,285,97,382,4,0,6,292,106,393,36,25,60,944,850,1793,18,19,36,996,890,1883,16,20,34,180,174,348,9,3,8,198,197,394,22,13,38,586,511,1104,8,6,16,618,537,1155,26,23,49,462,440,900,10,13,19,495,479,974
ILOC50701202,0,41,69,111,11,21,29,1077,521,1600,19,3,18,1106,545,1654,90,104,191,3386,3465,6850,43,42,90,3521,3614,7134,26,25,50,633,699,1334,11,3,15,669,733,1400,53,47,102,2103,2056,4162,33,30,60,2190,2137,4326,51,64,115,1716,1967,3680,21,18,40,1792,2046,3837
ILOC50701203,0,8,37,48,4,3,11,490,202,697,5,7,10,502,214,717,40,35,78,1490,1476,2963,20,27,47,1551,1542,3087,13,13,23,245,242,486,6,5,15,264,262,520,19,15,35,1035,961,1997,15,19,37,1074,992,2060,25,33,59,633,667,1303,12,10,22,664,716,1377
ILOC50701301,0,16,29,47,11,13,28,380,172,546,0,0,0,390,184,574,115,137,246,1569,1459,3027,26,36,55,1701,1627,3334,21,12,37,278,246,527,4,5,9,306,266,570,66,92,154,1099,1042,2145,14,24,47,1187,1163,2346,60,51,114,632,580,1210,7,8,13,702,636,1341
ILOC50701302,0,57,81,132,11,10,24,844,396,1244,5,0,3,865,409,1273,135,148,288,3465,3436,6895,45,35,73,3645,3618,7260,50,49,98,504,571,1079,8,0,8,564,627,1188,84,106,191,2468,2393,4855,28,21,54,2579,2521,5099,79,76,157,1284,1403,2683,20,10,23,1384,1483,2865
ILOC50701401,0,31,69,96,12,21,34,588,284,878,3,5,3,605,308,912,188,209,393,2143,2248,4396,31,25,60,2358,2485,4845,51,52,97,390,409,802,4,7,11,442,470,908,100,115,213,1387,1430,2816,17,18,35,1500,1566,3067,102,120,217,987,1079,2067,16,10,35,1109,1205,2313
ILOC50701501,0,52,92,145,21,7,29,1542,664,2204,19,7,24,1580,672,2252,76,59,140,5032,5074,10107,64,40,112,5176,5180,10358,21,27,47,1165,1226,2395,10,6,13,1192,1267,2456,38,35,70,3015,2988,6007,46,24,70,3096,3051,6146,54,44,100,2787,2960,5746,20,20,39,2855,3026,5883
ILOC50701502,0,27,59,89,6,3,8,806,389,1194,12,4,18,821,396,1224,43,42,83,2907,2928,5837,30,36,66,2980,3006,5989,11,9,18,423,482,909,8,12,16,437,501,944,27,35,57,2063,2019,4077,23,36,54,2110,2084,4194,19,19,39,1160,1274,2438,9,15,24,1192,1304,2497
ILOC50701503,0,122,305,419,44,37,83,3614,1805,5420,26,15,45,3686,1858,5543,207,259,463,11611,11873,23491,81,97,180,11907,12230,24133,72,79,143,1952,2191,4143,19,27,42,2037,2295,4331,107,130,239,7254,7297,14544,58,66,129,7415,7493,14908,137,170,305,5587,6087,11675,29,46,71,5751,6309,12055
ILOC50701504,0,33,99,134,21,16,31,1135,478,1620,14,8,18,1169,498,1667,120,111,229,3319,3221,6543,37,37,75,3473,3374,6848,35,35,73,434,491,926,7,3,7,477,527,1004,69,69,134,2464,2343,4810,32,24,51,2569,2436,5003,79,66,143,1077,1193,2270,9,11,20,1163,1268,2437
ILOC50701505,0,27,43,67,5,8,12,624,272,897,10,3,15,640,286,920,34,41,75,2195,2209,4404,36,34,69,2258,2287,4544,19,7,23,286,351,637,7,3,3,305,358,662,25,24,47,1602,1580,3183,21,22,42,1647,1622,3273,21,24,43,775,873,1651,12,21,32,811,916,1728
ILOC50800101,0,9,21,29,49,39,81,199,61,260,7,0,7,254,94,349,384,445,828,547,470,1017,8,9,25,939,927,1865,100,124,226,190,198,387,4,4,5,293,323,618,226,269,496,296,215,511,3,5,4,529,493,1016,205,255,459,399,419,817,4,8,13,612,682,1290
ILOC50800102,0,8,0,9,9,4,7,0,0,0,0,0,0,8,7,15,59,47,110,5,3,3,0,0,0,63,53,114,7,6,12,0,0,0,0,0,0,7,6,12,41,38,82,5,0,3,0,0,0,47,41,83,18,18,37,0,0,0,0,0,0,18,18,36
ILOC50800103,0,6,7,14,14,10,27,0,0,0,0,0,0,14,10,27,125,137,260,0,0,0,0,0,0,125,137,260,21,20,37,0,0,0,0,0,0,21,20,37,97,109,203,0,0,0,0,0,0,97,109,203,28,34,60,0,0,0,0,0,0,28,34,60
ILOC50800201,0,0,7,5,3,4,5,35,5,44,0,0,0,39,11,49,41,66,108,98,90,187,3,3,7,149,158,305,21,20,43,41,48,87,0,0,0,58,67,125,20,29,54,47,32,76,3,0,4,66,61,132,37,42,78,88,94,185,0,0,3,123,143,263
ILOC50800202,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,5,24,26,55,12,12,21,0,0,0,37,35,77,3,0,3,0,0,0,0,0,0,3,0,3,20,15,38,4,5,14,0,0,0,28,27,55,3,5,14,3,3,9,0,0,0,13,10,20
ILOC50800203,0,3,8,9,12,4,13,0,3,7,0,0,0,11,9,22,147,137,280,8,20,28,0,0,0,157,154,309,20,22,41,13,11,22,0,0,0,27,34,67,124,101,225,3,3,7,0,0,0,125,104,233,31,37,70,13,28,43,0,0,0,47,63,111
ILOC50800204,0,3,0,4,4,0,3,0,0,0,0,0,0,4,0,3,78,80,151,0,0,0,0,0,0,78,80,151,7,11,19,0,0,0,0,0,0,13,8,20,70,69,138,0,0,0,0,0,0,70,69,138,13,10,20,0,0,0,0,0,0,13,8,25
ILOC50800205,0,11,3,7,22,24,48,0,0,0,0,0,0,22,24,47,151,178,337,6,0,7,0,0,0,158,181,340,13,24,38,3,9,13,0,0,0,19,31,51,119,132,257,3,0,3,0,0,0,122,132,261,31,37,71,8,11,19,0,0,0,37,52,89
ILOC50800301,0,5,7,12,3,4,12,0,0,0,0,0,0,3,4,9,137,140,280,0,0,0,0,0,0,137,140,280,18,13,30,0,0,0,0,0,0,18,13,33,115,124,243,0,0,0,0,0,0,115,124,243,24,15,38,0,0,0,0,0,0,21,15,43
ILOC50800302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,33,0,0,0,0,0,0,19,16,33,7,6,9,3,4,10,0,0,0,6,7,17,13,9,25,0,0,0,0,0,0,13,9,25,12,11,21,0,3,3,0,0,0,11,15,24
ILOC50800303,0,6,3,8,9,0,7,10,3,14,0,0,0,14,9,19,68,67,138,13,9,29,3,0,3,82,84,168,9,6,10,7,8,16,0,0,0,14,12,29,62,51,113,6,7,8,3,0,3,71,59,128,8,19,30,10,14,29,0,0,0,24,35,58
ILOC50800304,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,6,21,27,48,0,0,0,0,0,0,21,27,48,3,0,4,0,0,0,0,0,0,3,0,4,17,19,39,0,0,0,0,0,0,17,19,39,6,4,14,0,0,0,0,0,0,6,4,14
ILOC50800305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,34,0,0,0,0,0,0,23,13,34,7,3,5,0,4,7,0,0,0,6,4,13,20,10,31,0,4,7,0,0,0,21,18,31,8,3,8,0,0,0,0,0,0,8,5,13
ILOC50800306,0,0,4,7,6,3,10,0,0,0,0,0,0,6,3,10,60,71,128,0,3,4,0,0,0,58,73,127,14,10,25,0,0,0,0,0,0,14,10,25,47,56,106,0,0,0,0,0,0,47,56,106,15,20,35,0,3,4,0,0,0,12,27,38
ILOC50800307,0,0,0,0,5,3,10,3,0,7,0,0,0,16,0,13,93,103,196,8,4,14,0,0,0,107,112,213,12,6,24,5,3,5,0,0,0,20,13,28,61,73,132,3,0,3,0,0,0,60,73,136,30,30,64,17,5,20,0,0,0,47,40,87
ILOC50800308,0,6,6,7,6,3,10,0,0,0,0,0,0,6,3,10,63,55,112,3,3,3,0,0,0,62,52,117,7,6,10,0,3,3,0,0,0,11,4,14,52,37,87,0,0,0,0,0,0,52,42,92,13,13,29,3,4,3,0,0,0,14,19,37
ILOC50800401,0,4,3,7,13,6,16,0,0,0,0,0,0,13,6,16,31,23,46,0,0,0,0,0,0,31,23,46,21,13,28,0,7,7,0,0,0,21,17,36,20,21,40,0,0,0,0,0,0,20,21,40,19,12,30,0,7,7,0,0,0,19,15,35
ILOC50800402,0,0,3,3,8,3,8,3,0,3,0,0,0,7,3,13,33,28,60,3,5,11,0,0,0,36,32,67,6,9,17,0,3,5,0,0,0,9,12,24,15,18,34,0,0,0,0,0,0,15,17,38,9,17,26,4,9,12,0,0,0,13,22,40
ILOC50800403,0,3,3,7,8,18,27,0,0,0,0,0,0,8,18,27,227,244,472,0,0,3,0,0,0,230,246,469,16,15,31,0,3,3,0,0,3,19,17,38,180,202,381,0,0,0,0,0,0,180,202,385,32,34,64,0,4,5,0,0,3,36,34,73
ILOC50800404,0,9,3,11,11,5,17,44,14,62,3,0,3,57,22,82,82,79,160,76,53,127,0,0,4,167,132,294,19,4,32,45,43,90,5,0,3,66,52,124,57,53,117,42,32,73,4,0,3,99,86,185,34,23,62,73,66,142,3,0,5,114,91,201
ILOC50800405,0,0,3,6,12,11,17,0,0,0,0,0,0,12,11,17,54,62,112,0,0,0,0,0,0,54,62,117,7,4,14,0,0,0,0,0,0,7,9,14,38,48,87,0,0,0,0,0,0,38,48,88,11,10,21,0,0,0,0,0,0,11,13,23
ILOC59499494,0,27,27,59,30,12,40,715,208,926,3,0,7,748,217,969,52,33,94,745,401,1145,12,0,12,814,434,1248,108,69,178,1563,1258,2828,16,16,33,1691,1346,3036,34,27,55,451,207,656,6,0,13,493,234,725,119,69,185,1811,1413,3225,15,18,33,1945,1495,3440
ILOC59799797,0,3,0,0,0,0,0,130,4,130,0,0,0,130,4,134,3,0,3,254,11,269,4,0,4,259,11,272,3,0,3,72,10,79,3,3,4,73,12,84,3,0,3,137,9,149,0,0,0,143,9,147,4,0,4,179,13,193,5,3,5,187,18,206
ILOC60100101,0,134,261,396,113,98,218,2590,1371,3960,28,10,38,2726,1483,4213,570,665,1234,8695,9678,18377,86,116,203,9353,10452,19809,128,154,283,1464,1627,3094,18,22,36,1607,1799,3414,359,384,741,6321,6827,13148,67,87,159,6748,7300,14046,286,356,640,3509,4097,7605,32,42,73,3829,4488,8325
ILOC60100102,0,87,166,254,117,86,203,1983,877,2859,19,7,23,2120,969,3086,508,526,1035,6458,6973,13434,90,109,198,7055,7605,14664,87,84,177,962,1040,2002,16,12,24,1066,1133,2202,323,359,685,4746,5019,9764,65,72,133,5133,5451,10581,238,219,448,2431,2745,5179,37,31,65,2706,2995,5694
ILOC60100103,0,13,15,24,21,13,28,299,118,421,3,8,7,323,137,463,75,84,158,998,959,1951,20,13,35,1095,1054,2145,18,13,32,86,84,170,0,3,3,108,97,205,61,63,120,822,759,1582,20,11,28,897,828,1731,26,21,45,230,235,466,3,4,10,260,265,519
ILOC60100201,0,8,36,47,3,0,3,316,130,443,0,3,4,318,135,450,33,33,66,1379,1322,2699,16,25,42,1433,1382,2812,8,6,17,199,210,412,0,3,4,206,223,430,17,18,37,1055,982,2038,11,15,27,1086,1019,2105,18,23,39,445,476,920,4,7,12,467,498,969
ILOC60100202,0,15,24,37,7,3,7,189,79,265,3,0,0,193,88,280,36,51,91,863,725,1595,10,7,17,910,789,1693,0,5,9,89,75,163,0,0,0,86,84,170,27,31,58,653,542,1192,10,4,11,684,580,1261,9,25,34,263,223,490,0,0,0,273,248,528
ILOC60100203,0,43,100,146,29,30,62,1070,518,1592,13,3,11,1105,555,1665,170,195,365,3935,3857,7792,64,56,122,4174,4107,8281,31,37,72,506,554,1065,6,9,18,547,602,1148,130,119,255,2993,2829,5822,43,43,90,3167,2999,6161,59,92,150,1288,1368,2656,20,8,27,1368,1471,2838
ILOC60100204,0,42,79,115,20,14,31,1007,433,1438,8,0,8,1034,445,1480,83,90,169,3423,3534,6958,38,32,70,3544,3651,7196,12,25,37,463,514,979,5,4,5,483,539,1026,43,50,90,2462,2557,5021,36,24,57,2540,2630,5170,35,49,87,1243,1348,2591,7,5,15,1288,1408,2691
ILOC60100205,0,20,53,70,23,17,43,624,281,903,11,3,16,659,304,956,135,139,273,2436,2216,4656,40,47,86,2611,2396,5011,12,26,45,202,227,426,3,6,12,217,265,484,86,88,174,1935,1727,3660,34,42,78,2059,1855,3912,49,59,100,599,635,1237,6,3,13,653,696,1347
ILOC60100301,3,78,170,246,88,67,153,1476,833,2312,18,6,26,1585,905,2490,599,624,1223,5624,5815,11442,109,99,205,6328,6536,12865,102,114,214,816,930,1742,16,15,26,925,1057,1980,374,375,751,4062,4085,8153,70,64,138,4507,4527,9038,243,278,520,1960,2324,4287,34,27,62,2237,2631,4869
ILOC60100302,3,180,360,535,141,110,253,5252,2453,7704,41,25,63,5436,2587,8021,740,764,1512,19968,21640,41603,183,260,440,20889,22661,43552,140,128,269,2865,3111,5980,27,14,43,3039,3258,6296,486,496,983,14234,15292,29518,132,201,335,14852,15988,30840,323,330,656,7790,8725,16517,67,66,131,8182,9119,17304
ILOC60100303,3,206,411,614,185,138,325,4394,2408,6807,37,18,54,4619,2570,7181,810,878,1690,16013,17106,33118,217,218,434,17042,18206,35250,191,217,403,2638,2871,5509,34,33,63,2852,3121,5979,516,522,1035,11157,11962,23120,177,176,357,11852,12662,24514,403,497,896,6817,7357,14171,52,61,115,7271,7910,15182
ILOC60100304,5,168,190,363,52,31,83,2607,1303,3909,28,0,30,2682,1333,4017,244,245,489,17235,18340,35575,123,117,239,17605,18702,36313,101,81,180,4422,4646,9060,17,23,44,4539,4744,9286,129,146,279,10935,11930,22865,102,81,180,11174,12155,23323,187,175,355,10253,10677,20924,46,53,96,10476,10902,21380
ILOC60100401,0,0,4,7,18,12,31,63,33,98,0,0,0,80,46,130,74,102,181,259,259,521,8,3,9,341,371,709,8,7,14,49,57,112,0,0,0,60,65,121,55,71,122,152,170,323,7,3,9,217,238,457,17,29,44,145,136,288,3,0,3,173,165,334
ILOC60100402,0,3,5,5,5,3,7,43,15,66,0,0,0,50,18,73,35,39,71,202,209,408,7,8,8,235,247,489,4,3,11,22,21,49,0,0,0,30,27,58,21,20,46,140,143,284,3,0,8,160,175,332,17,12,32,73,80,150,0,3,3,90,98,183
ILOC60100403,9,73,118,193,111,60,174,1405,587,1996,14,9,20,1529,658,2189,517,509,1023,5266,5170,10437,82,89,174,5861,5770,11628,63,69,127,780,851,1634,9,15,24,853,929,1781,385,356,738,3742,3562,7303,61,65,125,4185,3985,8167,148,175,320,2091,2202,4289,27,27,54,2263,2399,4669
ILOC60100501,0,110,227,346,121,85,207,3027,1428,4455,23,13,41,3175,1534,4709,529,511,1036,13322,14255,27572,122,149,267,13968,14906,28876,92,105,203,2048,2276,4319,19,19,42,2164,2402,4563,314,318,637,9203,9790,18993,80,115,196,9601,10225,19825,253,247,503,5625,6210,11841,55,51,107,5933,6514,12443
ILOC60100601,7,277,547,819,144,113,257,5504,2872,8375,54,24,75,5699,3005,8706,819,831,1652,21831,23456,45293,258,258,517,22905,24550,47462,211,267,469,4281,4559,8844,31,47,77,4519,4875,9395,482,483,969,14779,15845,30623,196,188,377,15458,16519,31976,450,512,960,10397,11202,21601,76,103,173,10922,11814,22740
ILOC60100701,3,29,80,110,19,14,33,997,472,1468,4,0,7,1019,492,1507,80,78,160,3346,3619,6961,26,35,63,3455,3734,7186,15,13,27,426,495,923,3,5,8,447,515,962,56,42,106,2424,2578,5007,18,26,46,2502,2647,5154,36,41,77,1222,1417,2635,8,5,17,1263,1465,2729
ILOC60100702,0,20,48,70,22,20,43,689,267,957,9,8,11,717,298,1010,128,122,256,2417,2289,4700,28,24,58,2576,2435,5010,17,12,31,257,267,527,5,3,8,283,287,570,79,66,145,1800,1671,3474,18,24,42,1897,1762,3656,57,55,114,786,822,1607,8,8,18,852,881,1735
ILOC60100703,0,38,89,132,11,22,35,980,489,1471,17,0,17,1009,506,1514,140,153,289,4005,4018,8023,74,51,123,4217,4219,8432,26,32,56,504,553,1059,4,4,9,535,588,1130,82,87,171,3024,2957,5981,61,35,96,3168,3089,6256,62,75,137,1317,1458,2777,13,18,26,1389,1548,2940
ILOC60100801,3,23,62,81,10,9,23,696,284,980,10,3,9,717,298,1014,77,96,173,2296,2200,4496,27,35,65,2399,2331,4734,23,32,50,336,344,673,4,6,15,361,381,741,38,55,91,1717,1607,3322,21,28,50,1771,1694,3464,53,63,115,836,864,1700,6,10,22,899,935,1834
ILOC60100802,0,33,59,89,19,6,23,693,288,978,5,3,7,711,302,1012,81,81,160,2514,2514,5030,35,35,71,2636,2626,5258,11,7,19,358,366,715,6,7,8,370,378,745,55,53,105,1947,1919,3861,32,27,57,2032,1993,4024,33,28,62,808,845,1655,9,8,22,851,886,1738
ILOC60100803,0,3,10,12,14,12,24,99,28,136,0,0,0,117,40,154,72,60,130,320,278,601,3,8,9,395,347,736,5,10,11,42,39,75,0,0,0,40,42,90,47,41,86,235,199,432,3,3,10,287,243,534,17,20,40,112,103,217,0,0,4,135,128,257
ILOC60100804,4,34,54,91,14,14,27,700,288,993,9,4,12,730,308,1035,112,119,237,2533,2483,5019,49,38,86,2696,2647,5343,20,27,47,301,380,687,9,3,12,333,413,744,75,79,157,1859,1788,3641,33,30,60,1965,1893,3861,49,49,98,844,926,1766,17,17,25,902,989,1897
ILOC60100901,0,16,39,54,8,5,12,481,182,666,6,0,7,496,190,687,81,78,156,1647,1556,3203,19,26,49,1746,1656,3407,15,22,39,225,231,454,3,0,3,248,253,506,52,60,114,1194,1096,2286,16,20,32,1260,1177,2435,29,37,69,628,620,1254,4,5,14,670,659,1328
ILOC60100902,3,56,133,195,54,43,100,1682,821,2502,14,0,17,1750,867,2620,229,207,434,5314,5411,10728,59,55,114,5598,5678,11273,64,63,124,808,866,1674,5,11,13,879,938,1812,138,127,268,3761,3713,7477,34,45,77,3935,3888,7821,135,121,254,2101,2317,4418,22,16,35,2260,2452,4709
ILOC60100903,4,7,17,21,14,4,23,246,104,351,0,3,3,257,115,374,58,44,102,872,809,1681,20,13,31,942,867,1812,9,7,17,114,123,236,0,0,4,126,127,248,47,37,83,679,601,1284,13,9,21,736,657,1392,13,12,26,279,293,573,7,0,11,296,311,604
ILOC60101001,0,110,198,306,111,80,197,1881,963,2840,18,8,26,2010,1051,3063,458,514,972,6582,7059,13641,94,96,191,7132,7675,14800,119,156,269,980,1125,2108,9,6,13,1108,1290,2394,265,289,555,4753,4951,9708,65,67,132,5087,5308,10396,248,318,562,2554,2909,5461,25,36,66,2819,3264,6092
ILOC60101002,0,35,82,115,89,83,174,905,396,1304,12,3,13,1006,479,1487,488,519,1003,3190,2987,6178,62,62,117,3734,3563,7295,113,127,235,536,508,1041,4,6,14,652,636,1293,338,317,653,2299,2130,4428,42,35,79,2671,2491,5162,213,254,465,1251,1211,2461,24,15,43,1484,1482,2973
ILOC60101003,3,14,37,49,36,12,47,388,183,570,4,3,10,428,197,626,129,100,228,1385,1235,2619,30,25,58,1543,1359,2902,19,17,37,160,182,336,0,4,5,177,200,375,88,72,159,1087,945,2032,23,25,41,1194,1043,2233,51,38,81,409,431,840,7,7,10,465,471,939
ILOC60101004,3,33,96,125,73,35,114,1026,478,1504,11,4,14,1109,523,1631,291,296,585,3463,3749,7210,50,63,112,3803,4110,7915,66,56,123,516,494,1007,4,3,7,579,558,1137,165,194,363,2469,2644,5110,35,51,80,2663,2885,5555,139,127,270,1353,1491,2845,9,16,30,1507,1635,3141
ILOC60101005,0,16,40,52,29,17,45,477,163,638,11,0,12,514,183,690,135,109,244,1495,1360,2854,42,22,64,1672,1493,3159,15,22,37,255,260,514,3,3,3,275,282,558,92,69,162,1076,953,2025,27,18,41,1193,1034,2227,42,49,99,581,601,1179,9,8,13,640,658,1296
ILOC60101101,0,34,92,126,51,34,83,1158,510,1675,7,0,7,1216,548,1763,212,185,400,3633,3795,7428,43,58,97,3885,4039,7922,50,32,79,577,648,1227,0,7,6,624,688,1315,153,116,269,2552,2607,5161,33,48,74,2728,2771,5499,86,91,179,1539,1698,3238,10,14,18,1633,1804,3435
ILOC60101102,0,80,207,287,43,31,76,2612,1108,3723,24,7,28,2682,1144,3827,211,231,440,9130,9529,18661,111,102,211,9449,9858,19308,44,55,99,1429,1546,2980,15,16,32,1484,1618,3108,121,131,249,6503,6689,13193,83,82,162,6706,6904,13609,124,136,263,3716,4032,7747,38,28,62,3878,4198,8071
ILOC69499494,0,6,6,10,3,3,9,82,27,109,0,0,0,91,31,120,10,4,10,98,61,164,3,0,3,112,66,176,16,12,31,257,246,508,3,0,3,279,258,540,7,3,7,74,37,116,3,0,3,89,45,133,18,12,32,257,246,506,3,0,3,284,258,541
ILOC69799797,0,0,0,0,0,0,0,17,0,19,0,0,0,17,3,21,0,0,0,35,13,41,0,0,3,32,16,47,0,0,0,11,7,22,0,0,0,11,7,22,0,0,0,21,10,33,0,0,3,21,13,37,0,0,0,25,8,29,0,0,0,25,8,29
ILOC70100101,0,14,25,37,35,25,54,353,148,498,4,0,8,391,175,568,205,235,440,1052,1042,2090,16,16,30,1274,1290,2563,60,86,141,286,302,590,3,0,5,348,391,736,103,133,241,607,591,1199,11,12,20,723,733,1460,134,154,288,675,680,1351,7,7,13,820,840,1652
ILOC70100102,3,7,25,29,31,26,56,341,156,492,9,0,5,374,185,562,223,273,495,1154,1178,2334,21,21,37,1396,1472,2870,61,79,141,288,303,586,0,0,0,345,384,729,133,177,310,653,678,1332,16,18,35,796,872,1674,132,144,272,733,754,1493,4,0,7,871,898,1769
ILOC70100103,0,4,9,16,11,9,19,180,65,241,3,0,3,193,73,263,69,79,153,444,448,896,6,11,23,520,545,1070,15,27,48,132,133,261,0,5,10,153,165,318,47,55,98,291,286,579,7,12,19,345,347,694,42,45,86,256,268,520,7,6,12,299,317,623
ILOC70100104,0,0,3,4,3,0,4,56,15,67,0,0,0,58,10,71,4,12,14,135,114,249,0,0,0,144,121,267,0,3,9,15,17,31,0,0,0,17,18,34,3,7,8,94,76,170,0,0,0,103,79,184,3,8,12,50,48,101,0,0,0,53,57,108
ILOC70100105,0,24,27,42,52,35,84,388,217,606,8,3,6,443,250,696,310,342,651,1346,1388,2732,17,14,34,1676,1744,3422,64,86,151,324,337,658,4,5,5,392,424,812,171,186,354,751,759,1513,10,12,22,938,952,1891,169,201,373,830,863,1692,6,11,13,999,1077,2077
ILOC70100106,0,16,14,32,11,21,30,274,115,391,3,0,5,289,138,428,81,106,189,1041,1002,2039,8,3,9,1122,1113,2242,33,35,69,366,419,784,0,0,0,397,458,851,49,69,116,459,443,901,3,4,11,516,515,1029,67,70,134,894,924,1821,0,3,3,958,999,1959
ILOC70100107,0,16,23,45,36,25,59,356,163,523,3,0,3,394,190,584,223,231,455,1343,1354,2698,14,12,21,1582,1596,3178,56,60,115,369,453,819,3,3,5,429,514,942,139,141,278,774,775,1546,6,10,13,922,926,1844,118,126,243,855,1009,1869,9,5,11,978,1139,2118
ILOC70100108,0,0,0,0,0,0,0,3,0,6,0,0,0,3,3,6,0,0,0,13,13,28,0,0,0,13,15,27,0,0,0,4,7,16,0,0,0,4,7,16,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,15,21,37,0,0,0,15,24,36
ILOC70100109,0,0,3,3,5,3,5,0,0,0,0,0,0,5,3,5,83,123,210,3,0,6,0,0,0,87,127,214,6,0,11,0,0,0,0,0,0,6,0,11,73,101,171,0,0,0,0,0,0,69,101,172,12,17,28,0,0,3,0,0,0,12,14,30
ILOC70100201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,41,72,0,0,0,0,0,0,33,41,72,3,5,10,0,0,0,0,7,9,7,13,19,25,31,50,0,0,0,0,0,0,25,31,50,11,12,26,0,0,0,0,3,8,10,19,26
ILOC70100202,0,3,0,3,3,3,9,3,0,3,0,0,0,10,3,12,78,97,173,10,4,9,0,0,0,90,99,185,43,34,74,0,0,0,0,0,0,38,36,80,70,84,154,7,4,10,0,0,0,75,88,165,34,38,68,3,0,3,0,0,0,37,36,73
ILOC70100203,0,0,0,0,3,3,5,0,0,4,0,0,0,4,3,10,79,87,167,0,0,0,0,0,0,82,89,172,28,31,55,0,3,3,0,0,0,33,35,61,60,67,134,0,0,3,0,0,0,66,71,135,30,42,74,0,0,0,0,0,0,30,43,73
ILOC70100204,0,0,0,0,3,0,8,0,0,0,0,0,0,3,0,3,41,50,91,0,0,0,0,0,0,42,50,90,9,3,10,0,0,0,0,0,0,7,3,12,32,46,77,0,0,0,0,0,0,36,46,81,11,11,22,0,0,0,0,0,0,10,11,19
ILOC70100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,49,3,0,4,0,0,0,20,25,50,3,9,9,0,0,0,0,0,0,3,9,9,20,24,40,0,0,0,0,0,0,15,24,40,4,14,18,0,0,0,0,0,0,4,14,15
