ILOC_CODE_2016,IAD_HHs_with_Ind_p,IAD_Oth_households,IAD_Tot_households,INAD_HHs_with_Ind_p,INAD_Oth_households,INAD_Tot_households,IA_NS_Indig_per,IA_NS_Oth_households,IA_NS_Tot_households,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
ILOC20101801,67,18613,18686,10,2357,2370,0,557,563,86,21528,21613
ILOC20101802,68,15215,15279,8,1738,1745,3,328,335,72,17279,17358
ILOC20101803,49,16403,16458,10,2457,2469,8,408,414,65,19271,19338
ILOC20101901,194,25044,25243,41,4806,4842,12,771,782,245,30619,30862
ILOC20101902,246,27619,27857,27,2699,2732,12,833,841,283,31154,31437
ILOC20101903,422,32224,32642,60,3582,3641,21,851,872,499,36650,37151
ILOC20102001,566,44556,45115,98,5514,5609,20,1092,1113,677,51164,51840
ILOC20200101,595,32133,32728,159,6734,6892,26,1092,1126,783,39963,40741
ILOC20200201,180,14279,14456,48,2903,2954,10,471,488,241,17654,17897
ILOC20200301,86,3400,3483,15,514,532,0,104,104,99,4018,4118
ILOC20200302,134,4338,4468,34,1173,1207,8,201,209,175,5714,5885
ILOC20200303,101,7072,7175,22,1071,1091,8,225,231,129,8371,8499
ILOC20200304,122,3268,3387,32,1020,1051,10,134,145,164,4417,4577
ILOC20200305,117,7130,7243,25,1472,1496,7,221,230,147,8821,8974
ILOC20200306,156,7223,7380,38,1600,1640,9,255,267,208,9081,9287
ILOC20200401,68,3002,3066,25,953,972,3,130,132,86,4087,4174
ILOC20200402,141,3679,3815,71,994,1060,11,184,199,218,4852,5075
ILOC20200403,75,3359,3430,32,983,1012,3,130,135,104,4468,4576
ILOC20200404,189,7771,7962,62,2481,2545,21,371,389,272,10625,10899
ILOC20200405,673,16819,17495,237,4087,4327,56,723,776,964,21635,22600
ILOC20200501,302,18745,19043,106,6061,6160,27,850,877,430,25652,26083
ILOC20200601,970,70446,71412,210,14233,14440,39,2286,2327,1213,86960,88173
ILOC20200701,147,4000,4148,77,1122,1201,10,225,237,242,5348,5587
ILOC20200702,205,8794,9002,107,2524,2634,26,364,388,337,11683,12017
ILOC20200703,0,0,0,5,0,5,0,0,0,5,0,5
ILOC20200704,222,12250,12476,71,3025,3101,17,442,455,309,15720,16030
ILOC20200801,129,5877,6006,42,1764,1808,7,271,281,183,7920,8101
ILOC20200802,112,3791,3910,38,1446,1487,6,206,219,165,5449,5613
ILOC20200803,189,11429,11618,45,2070,2115,3,391,396,238,13897,14133
ILOC20200901,125,13540,13660,25,1699,1727,10,341,351,154,15584,15738
ILOC20200902,148,9072,9220,24,1601,1628,5,286,296,181,10961,11143
